participant,task1,task2,task3,task4,task5,task6,task7,task8
p1,3,2,5,4,3,5,6,6
p2,9,9,0,5,3,4,9,0
p3,3,3,4,5,4,2,2,4
p4,3,3,4,4,4,2,8,3
p5,1,1,0,0,1,3,4,0
p6,6,5,7,5,4,5,4,4
p7,2,1,2,2,2,2,2,2
p8,2,1,5,3,2,1,0,0
p9,2,3,1,4,2,3,2,1
p10,5,4,3,4,4,4,3,5
p11,2,3,3,3,4,4,2,6
p12,7,4,5,5,6,8,6,5
p13,2,4,3,1,4,3,1,5
p14,2,3,2,3,2,3,3,3
p15,4,6,6,8,5,6,5,6
p16,3,3,3,1,8,3,5,3
p17,1,2,2,1,2,2,2,2
p18,1,7,0,5,3,0,4,5
p19,11,7,7,7,6,10,9,0
p20,3,3,4,2,3,7,5,3
p21,2,2,3,2,2,1,2,3
p22,2,4,3,2,2,3,2,2
p23,2,3,4,5,3,4,3,3
p24,5,4,2,3,1,3,3,2
p25,5,5,5,4,5,6,8,4
p26,4,5,3,8,5,2,3,5
p27,5,7,6,4,6,7,7,5
p28,4,4,2,4,6,2,3,3
p29,3,2,13,3,4,4,4,0
p30,7,9,7,8,8,5,9,9
p31,5,5,6,5,5,5,3,3
p32,2,7,6,5,6,6,5,7
p33,4,4,5,4,3,4,3,5
p34,0,1,1,1,2,0,1,1
p35,7,3,4,3,6,5,5,5
p36,4,2,11,5,2,2,5,2
p37,4,3,4,3,3,3,4,2
p38,3,3,3,2,3,2,4,3
p39,3,2,1,1,1,2,2,0
p40,3,2,4,3,4,4,4,6
p41,8,5,2,1,6,6,2,7
p42,2,2,1,2,2,3,2,2
p43,0,1,0,0,3,5,0,0
p44,7,5,9,4,4,6,4,5
p45,0,0,9,0,0,0,0,14
p46,2,2,3,2,3,3,2,2
p47,2,3,4,3,3,3,2,2
p48,5,4,4,5,5,5,9,7
p49,4,6,4,4,2,5,4,2
p50,3,1,0,1,2,1,0,1
